,DB_ID,S_Ledock,S_MOE,S_VINA,SMILES,NHA,LE_MOE,LE_Ledock,LE_VINA,logP,LELP_MOE,LELP_Ledock,LELP_VINA
0,MedChemRules_14499,-9.15,-6.9661083,-8.103,COc1cc(CCc2nc(=O)s[nH]2)ccc1OCc1cccc(-c2nc3scnc3o2)c1,32,0.217690884375,0.2859375,0.25321875,4.468900000000003,20.528650121618135,15.628939890710393,17.648377144267567
1,MedChemRules_1677,-9.15,-6.9895501,-9.11,COc1cc(CCc2no[nH]c2=O)ccc1OCN1Cc2[nH]nc(-c3ccccc3)c2C1,32,0.218423440625,0.2859375,0.2846875,2.898900000000001,13.271927187416546,10.138229508196725,10.18274423710209
2,MedChemRules_11969,-9.11,-6.5900707,-8.181,COc1cc(CCc2n[nH]c(=O)s2)ccc1OCc1cccc(S2=CNc3ncoc32)c1,32,0.205939709375,0.2846875,0.25565625,4.064300000000003,19.735387664353905,14.27635565312844,15.897518640752978
3,MedChemRules_14482,-9.11,-6.7921782,-8.271,COc1cc(CCc2nc(=O)s[nH]2)ccc1OCc1cccc(-c2nc3[nH]cnc3[nH]2)c1,32,0.21225556875,0.2846875,0.25846875,3.470600000000001,16.35104332215548,12.190911086717897,13.427542014266718
4,MedChemRules_1578,-9.06,-6.8322077,-8.07,COc1cc(CCc2no[nH]c2=O)ccc1OCC=NSc1ccccc1,27,0.2530447296296296,0.33555555555555555,0.2988888888888889,3.313600000000002,13.094918059941307,9.874966887417225,11.086394052044614
5,MedChemRules_23713,-9.0,-6.8700438,-8.233,COc1c(OCc2cccc(-c3ccccc3)c2)[nH]c2cc(CCn3nnc(=O)s3)sc12,32,0.21468886875,0.28125,0.25728125,4.739900000000003,22.07799606750689,16.852977777777788,18.42302927244019
6,MedChemRules_1346,-8.84,-7.0755267,-9.063,COc1cc(CCc2no[nH]c2=O)ccc1OCc1cccc(-c2cnncn2)c1,30,0.23585089,0.2946666666666667,0.30210000000000004,2.5877000000000008,10.971762709905402,8.781787330316744,8.565706719629263
7,MedChemRules_14876,-8.81,-6.8795586,-9.041,COc1cc(CCc2nc(=O)s[nH]2)ccc1OCc1cccc(-c2cnon2)c1,29,0.23722615862068966,0.30379310344827587,0.3117586206896552,3.2542000000000018,13.717711482245395,10.711895573212264,10.438203738524503
8,MedChemRules_2609,-8.81,-6.7237167,-8.55,COc1cc(CCc2ns[nH]c2=O)ccc1OCc1c[nH]c2cc(-c3ccccc3)sc12,32,0.210116146875,0.2753125,0.2671875,5.414000000000003,25.766701324581405,19.664926220204325,20.262923976608196
9,MedChemRules_12350,-8.8,-6.6860342,-8.802,COc1cc(CCc2n[nH]c(=O)s2)ccc1OCc1cccc(-c2cnon2)c1,29,0.23055290344827586,0.303448275862069,0.30351724137931035,3.2542000000000018,14.11476477341382,10.724068181818186,10.721631447398323
10,MedChemRules_14869,-8.79,-6.6432829,-9.195,COc1cc(CCc2nc(=O)s[nH]2)ccc1OCc1cccc(-c2cnncn2)c1,30,0.22144276333333332,0.293,0.3065,3.0562000000000014,13.80130898836177,10.430716723549493,9.97128874388255
11,MedChemRules_14866,-8.72,-6.7568336,-8.189,COc1cc(CCc2nc(=O)s[nH]2)ccc1OCc1cnnc(-c2ccccc2)n1,30,0.22522778666666668,0.2906666666666667,0.2729666666666667,3.0562000000000014,13.569373678227038,10.514449541284408,11.196238857003301
12,MedChemRules_2676,-8.7,-6.6830864,-8.503,COc1cc(CCc2ns[nH]c2=O)ccc1OCc1cccc([N+]2[C-]Oc3[nH]cnc32)c1,32,0.20884645,0.271875,0.26571875,3.419290000000002,16.37226775939932,12.57669885057472,12.86807950135247
13,MedChemRules_15191,-8.68,-6.8686795,-8.481,COc1cc(CCc2nc(=O)s[nH]2)ccc1OCc1cccc(C2CCc3ccnn32)c1,32,0.214646234375,0.27125,0.26503125,3.936300000000003,18.338546732308604,14.511705069124435,14.852210824195271
14,MedChemRules_23747,-8.67,-6.8334861,-8.64,COc1cc(CCn2nnc(=O)s2)ccc1OCc1cccc([N+]2[C-]Sc3[nH]cnc32)c1,32,0.213546440625,0.2709375,0.27,3.458490000000002,16.195493541722442,12.764899653979246,12.809222222222228
15,MedChemRules_10650,-8.66,-6.8204851,-9.179,COc1cc(CCc2n[nH]c(=O)[nH]2)ccc1OCc1cccc(-c2cnon2)c1,29,0.23518914137931035,0.2986206896551724,0.31651724137931037,2.5208000000000004,10.718181907618273,8.44147806004619,7.964179104477613
16,MedChemRules_19825,-8.62,-7.9055748,-9.235,COc1cc(CCc2nn[nH]n2)ccc1OCc1cccc(-c2nncnn2)c1,29,0.2726060275862069,0.2972413793103448,0.3184482758620689,1.8194999999999997,6.674467237979962,6.121287703016241,5.7136437466161345
17,MedChemRules_24380,-8.61,-6.38201,-8.408,COc1sc2c(CCn3nnc(=O)s3)cnn2c1OCc1cccc(-c2ccccc2)c1,32,0.1994378125,0.2690625,0.26275,3.9063000000000025,19.58655658640461,14.518188153310115,14.86698382492865
18,MedChemRules_16550,-8.6,-6.7850666,-7.254,COc1cc(CCc2nsc(=O)s2)ccc1OCc1cnn(-c2ccccc2)n1,29,0.23396781379310347,0.296551724137931,0.25013793103448273,3.5183000000000018,15.037538467197955,11.864034883720937,14.06543975737525
19,MedChemRules_1714,-8.59,-6.8669372,-8.801,COc1cc(CCc2no[nH]c2=O)ccc1OCC1CC(c2ccccc2)CCN1,30,0.22889790666666665,0.28633333333333333,0.29336666666666666,3.071300000000001,13.417772336697652,10.72630966239814,10.469151232814456
20,MedChemRules_1394,-8.59,-7.0550542,-9.326,COc1cc(CCc2no[nH]c2=O)c(=O)n(C)c1OCc1cccc(-c2ccccc2)c1,32,0.22047044375,0.2684375,0.2914375,3.101400000000001,14.06719171625925,11.55352735739232,10.641732790049327
21,MedChemRules_23730,-8.58,-6.6214681,-8.471,COc1cc(CCn2nnc(=O)s2)ccc1OCc1cccc(S2=CNc3ncoc32)c1,32,0.206920878125,0.268125,0.26471875,3.390200000000002,16.384040270465103,12.644102564102571,12.806799669460519
22,MedChemRules_1810,-8.58,-6.7513041,-8.927,COc1cc(CCc2n[nH][nH]c2=O)ccc1OCc1cccc(-c2nc3ncsc3o2)c1,32,0.210978253125,0.268125,0.27896875,3.735500000000002,17.705616311965574,13.931934731934739,13.390388708412688
23,MedChemRules_1623,-8.58,-7.2137909,-8.571,COc1oc2c(CCc3no[nH]c3=O)cnn2c1OCc1cccc(-c2ccccc2)c1,32,0.225430965625,0.268125,0.26784375,3.6434000000000024,16.161932278907624,13.588438228438237,13.602706802006777
24,MedChemRules_1465,-8.57,-6.6843581,-8.741,COc1c(OCc2cccc(-c3ccccc3)c2)[nH]c2nc(CCc3no[nH]c3=O)cn12,32,0.208886190625,0.2678125,0.27315625,3.3785000000000007,16.17387913433304,12.615169194865814,12.368378904015563
25,MedChemRules_14870,-8.56,-6.6110682,-7.87,COc1nc(CCc2nc(=O)s[nH]2)nnc1OCc1cccc(-c2ccccc2)c1,30,0.22036894,0.2853333333333333,0.26233333333333336,3.0562000000000014,13.868560605682458,10.71098130841122,11.650063532401528
26,MedChemRules_17391,-8.56,-6.8943081,-8.906,COc1cc(CCc2ccnn2O)ccc1OCc1cccc(-c2cnon2)c1,29,0.23773476206896552,0.29517241379310344,0.3071034482758621,3.5432000000000015,14.90400465276567,12.00383177570094,11.537480350325627
27,MedChemRules_23704,-8.56,-6.8639088,-8.156,COc1sc2c(CCn3nnc(=O)s3)c[nH]c2c1OCc1cccc(-c2ccccc2)c1,32,0.21449715,0.2675,0.254875,4.739900000000003,22.097729503632113,17.71925233644861,18.596959293771466
28,MedChemRules_23729,-8.55,-7.1075459,-8.376,COc1cc(CCn2nnc(=O)s2)ccc1OCc1cccc(S2=c3[nH]cnc3=NC2)c1,32,0.222110809375,0.2671875,0.26175,2.42279,10.908023822962578,9.067752046783625,9.256122254059218
29,MedChemRules_24318,-8.53,-6.4135766,-8.226,COc1cc(CCn2nnc(=O)s2)ccc1OCC1CSC1c1ccccc1,28,0.22905630714285713,0.3046428571428571,0.2937857142857143,3.4342000000000024,14.992820074839376,11.27287221570927,11.68947240457088
30,MedChemRules_1509,-8.53,-6.4263511,-9.136,COc1cc(CCc2no[nH]c2=O)ccc1OCc1ccc2c(-c3ccccc3)c[nH]c2c1,33,0.1947379121212121,0.2584848484848485,0.27684848484848484,4.884000000000003,25.079862194270728,18.89472450175851,17.641418563922954
31,MedChemRules_1363,-8.53,-6.9553761,-8.079,COC(=O)N1CC(CCc2no[nH]c2=O)C1OCc1cccc(-c2ccccc2)c1,30,0.23184586999999998,0.2843333333333333,0.26930000000000004,3.2036000000000016,13.817800593126812,11.26705744431419,11.89602673598218
32,MedChemRules_1319,-8.52,-7.2464104,-8.725,CCOc1cc(CCc2no[nH]c2=O)ccc1OCc1cccc(-c2ccccc2)c1,31,0.23375517419354838,0.27483870967741936,0.2814516129032258,4.792800000000004,20.503503362161233,17.43859154929579,17.028859598853884
33,MedChemRules_16547,-8.52,-7.0862594,-8.293,COc1cc(CCc2nsc(=O)s2)ccc1OCc1cccc(-c2cnon2)c1,29,0.2443537724137931,0.29379310344827586,0.2859655172413793,3.987600000000003,16.318962300476905,13.572816901408462,13.944338598818291
34,MedChemRules_1610,-8.51,-7.3693452,-8.895,COc1cc(CCc2no[nH]c2=O)ccc1OCc1cc2scc(-c3ccccc3)n2n1,32,0.2302920375,0.2659375,0.27796875,4.111900000000003,17.85515489218772,15.461903642773219,14.79267003934796
35,MedChemRules_1680,-8.51,-6.8605294,-8.689,COc1cc(CCc2no[nH]c2=O)ccc1OCc1cccc(N2Cc3c[nH]nc3C2)c1,32,0.21439154375,0.2659375,0.27153125,2.979000000000001,13.895137596815784,11.20188014101058,10.971112901369551
36,MedChemRules_11932,-8.48,-6.5349774,-8.065,COc1cc(CCc2n[nH]c(=O)s2)ccc1OCc1cccc(-c2cc3[nH]ccc3[nH]2)c1,32,0.20421804375,0.265,0.25203125,4.680600000000003,22.919620196391207,17.66264150943397,18.571506509609435
37,MedChemRules_2635,-8.47,-7.1038518,-8.22,COc1oc2c(CCc3ns[nH]c3=O)c[nH]c2c1OCc1cccc(-c2ccccc2)c1,32,0.22199536875,0.2646875,0.256875,4.945500000000004,22.277491768620525,18.68429752066117,19.25255474452556
38,MedChemRules_15148,-8.47,-6.7338629,-7.497,COc1sc2c(CCc3nc(=O)s[nH]3)cnn2c1OCc1cccc(-c2ccccc2)c1,32,0.210433215625,0.2646875,0.23428125,4.580400000000004,21.76652571884113,17.304935064935076,19.55086034413767
39,MedChemRules_15217,-8.45,-6.8549128,-8.544,COc1cc(CCc2nc(=O)s[nH]2)ccc1OCC1CSC(c2ccccc2)C1,29,0.23637630344827587,0.29137931034482756,0.2946206896551724,4.498400000000004,19.03067242518389,15.43829585798818,15.268445692883908
40,MedChemRules_12526,-8.45,-6.4802914,-8.279,COc1cc(CCc2n[nH]c(=O)s2)ccc1OCc1cccc(-c2cn[nH]c2)c1,29,0.223458324137931,0.29137931034482756,0.28548275862068967,3.5943000000000014,16.084878528764932,12.335467455621307,12.590252445947582
41,MedChemRules_16511,-8.44,-6.3269935,-7.587,COc1cc(Sc2nsc(=O)s2)ccc1OCc1cccc(-c2ccccc2)c1,29,0.21817218965517243,0.29103448275862065,0.2616206896551724,5.970600000000005,27.366457702224622,20.515094786729875,22.82158956109136
42,MedChemRules_16725,-8.41,-6.5437284,-7.797,COc1cc(CCc2nsc(=O)s2)ccc1OCc1cccc(-c2ccno2)c1,29,0.22564580689655173,0.29,0.26886206896551723,4.5926000000000045,20.35313690586549,15.836551724137948,17.081621136334505
43,MedChemRules_1497,-8.41,-6.8442211,-9.446,COc1c(OCc2cccc(-c3ccccc3)c2)sc2cc(CCc3no[nH]c3=O)ccc12,33,0.2074006393939394,0.2548484848484849,0.28624242424242424,5.6174000000000035,27.08477667385703,22.042116527942937,19.62462417954691
44,MedChemRules_13632,-8.4,-6.8350773,-8.329,COc1c(OCc2cccc(-c3ccccc3)c2)[nH]c2cc(CCc3noc(=O)s3)sc12,32,0.213596165625,0.2625,0.26028125,5.678900000000004,26.587087756856842,21.633904761904777,21.818321527194154
45,MedChemRules_1574,-8.4,-6.6977406,-8.239,COc1cc(CCc2no[nH]c2=O)ccc1OCNN=Cc1ccccc1,27,0.24806446666666668,0.3111111111111111,0.30514814814814817,2.1167,8.532862559651832,6.803678571428571,6.936630659060564
46,MedChemRules_22018,-8.39,-7.254693,-8.739,COc1sc2c(CCn3nnc(=O)[nH]3)csc2c1OCc1cccc(-c2ccccc2)c1,32,0.22670915625,0.2621875,0.27309375,4.739900000000003,20.90740435191401,18.07828367103696,17.356310790708328
47,MedChemRules_1294,-8.38,-6.9516459,-8.729,COc1cc(CCc2no[nH]c2=O)ccc1OCc1cccc(-c2cccnc2)c1,30,0.23172153,0.2793333333333334,0.29096666666666665,3.7977000000000025,16.389068378756182,13.595584725537,13.052010539580717
