Chembl_ID,IC50,units,SMILES,S_MOE,pIC50,activo,S_Ledock,S_VINA
CHEMBL301254,1540,nM,O=C(OC)c1ccc(C=2c3c(C(=O)C(=O)C=2)cccc3)cc1,-5.1383224,5.812479279,1,-4.76,-8.6
CHEMBL58435,10130,nM,Oc1c(O)cc(C(=C)C)c2c1cccc2,-5.9724112,4.994390555,1,-4.61,-8
CHEMBL57157,610,nM,O=C(N(CC)CC)CCC=1C(=O)C(=O)c2c(C=1c1ccccc1)cccc2,-6.367588,6.214670165,1,-4.73,-6.6
CHEMBL292444,1010,nM,O=C(OCC)c1ccc(CCC=2C(=O)C(=O)c3c(C=2c2ccccc2)cccc3)cc1,-6.0797067,5.995678626,1,-5.73,-8.4
CHEMBL60707,1130,nM,O=C1C(=O)C=C(c2c3c([nH]c2)cccc3)c2c1cccc2,-5.296278,5.946921557,1,-5.34,-7.8
CHEMBL58292,34880,nM,O=C1C(=O)C=C(N(C)c2ccccc2)c2c1cccc2,-5.9458899,4.457423524,1,-5.28,-7.7
CHEMBL292386,1420,nM,O=C1C(=O)C=C(Cc2ccccc2)c2c1cccc2,-5.5692925,5.847711656,1,-5.18,-9.6
CHEMBL57841,1010,nM,O=C(O)COc1ccc(CC=2C(=O)C(=O)c3c(C=2n2c4c(cc2)cccc4)cccc3)cc1,-6.9522319,5.995678626,1,-6.4,-8.7
CHEMBL61245,5290,nM,S(=O)(=O)(O)C=1c2c(C(=O)C(=O)C=1)cccc2,-6.2922201,5.276544328,1,-5.4,-8.4
CHEMBL60918,680,nM,O=C(OC)C=Cc1cc2c(c(CCC(=O)OC)c(O)c(O)c2cc1)-c1ccccc1,-6.2224622,6.167491087,1,-5.97,-7.4
CHEMBL59240,2150,nM,O=C1C(=O)C=C(c2c3c(ccc2)cccc3)c2c1cccc2,-4.9706488,5.66756154,1,-4.83,-8.3
CHEMBL58747,5050,nM,Clc1c(C=2c3c(C(=O)C(=O)C=2)cccc3)cc(Cl)cc1,-4.8852406,5.296708622,1,-4.93,-7.8
CHEMBL433065,2250,nM,O=C(OCc1ccccc1)Nc1cc2C(=O)C(=O)C=C(c3ccccc3)c2cc1,-5.9977121,5.647817482,1,-6.42,-8.9
CHEMBL57796,29110,nM,O(C)C=1c2c(C(=O)C(=O)C=1)cccc2,-5.5013857,4.535957795,1,-4.61,-7.6
CHEMBL298849,2070,nM,O=C(O)C(Oc1cc2C(=O)C(=O)C=C(n3c4c(cc3)cccc4)c2cc1)Cc1ccccc1,-6.1078401,5.684029655,1,-5.37,-8.1
CHEMBL58354,1480,nM,O=C(OC(C)(C)C)COc1ccc(CC=2C(=O)C(=O)c3c(C=2c2ccccc2)cccc3)cc1,-5.8283281,5.829738285,1,-5.6,-7
CHEMBL58288,4200,nM,Oc1c(O)cc(C2=CCCC2)c2c1cccc2,-5.6118174,5.37675071,1,-5.08,-8.5
CHEMBL61044,2540,nM,O=C(OC)C(Oc1cc2C(=O)C(=O)C=C(c3ccccc3)c2cc1)Cc1ccccc1,-6.313808,5.595166283,1,-5.64,-8
CHEMBL60824,24590,nM,O=C1C(=O)CC(=N)c2c1cccc2,-5.0433035,4.609241471,1,-4.7,-7.5
CHEMBL52347,1640,nM,O=C1C(=O)C=Cc2c1cccc2,-4.9553251,5.785156152,1,-4.11,-7.5
CHEMBL57880,650,nM,O=C(OCC)Nc1c2C(=O)C(=O)C=C(c3ccccc3)c2ccc1,-6.1875887,6.187086643,1,-5.72,-9.3
CHEMBL51447,860,nM,O=C1C(=O)C=C(c2ccccc2)c2c1cccc2,-5.0365834,6.065501549,1,-4.93,-8.6
CHEMBL58762,500,nM,Fc1c(C=2c3c(C(=O)C(=O)C=2)cccc3)cc(F)cc1,-4.8995423,6.301029996,1,-4.85,-7.5
CHEMBL59239,1170,nM,O=[N+]([O-])c1c(C=2c3c(C(=O)C(=O)C=2)cccc3)cccc1,-4.9681873,5.931814138,1,-5.64,-7.4
CHEMBL58795,2040,nM,O(C)c1cc2C(=O)C(=O)C=C(c3ccccc3)c2cc1,-5.23564,5.690369833,1,-4.88,-7.9
