,Chembl_ID,IC50,units,SMILES,S_MOE,pIC50,activo,S_Ledock,S_VINA,NHA,LE_MOE,LE_Ledock,LE_VINA,logP,LELP_MOE,LELP_Ledock,LELP_VINA
0,CHEMBL301254,1540.0,nM,O=C(OC)c1ccc(C=2c3c(C(=O)C(=O)C=2)cccc3)cc1,-5.1383224,5.8124792791635365,1,-4.76,-8.6,22,0.23356010909090907,0.21636363636363634,0.3909090909090909,2.670300000000001,11.433031138723415,12.341722689075636,6.831000000000003
1,CHEMBL58435,10130.0,nM,Oc1c(O)cc(C(=C)C)c2c1cccc2,-5.9724112,4.994390554639719,1,-4.61,-8.0,15,0.3981607466666667,0.30733333333333335,0.5333333333333333,3.2841000000000022,8.248176213988755,10.685791757049898,6.157687500000004
2,CHEMBL57157,610.0,nM,O=C(N(CC)CC)CCC=1C(=O)C(=O)c2c(C=1c1ccccc1)cccc2,-6.367588,6.214670164989233,1,-4.73,-6.6,27,0.23583659259259257,0.1751851851851852,0.24444444444444444,3.9025000000000034,16.547474491126014,22.2764270613108,15.964772727272742
3,CHEMBL292444,1010.0,nM,O=C(OCC)c1ccc(CCC=2C(=O)C(=O)c3c(C=2c2ccccc2)cccc3)cc1,-6.0797067,5.995678626217357,1,-5.73,-8.4,31,0.19611957096774194,0.18483870967741936,0.2709677419354839,5.063400000000004,25.817923091586003,27.393612565445046,18.686357142857155
4,CHEMBL60707,1130.0,nM,O=C1C(=O)C=C(c2c3c([nH]c2)cccc3)c2c1cccc2,-5.296278,5.94692155651658,1,-5.34,-7.8,21,0.2522037142857143,0.2542857142857143,0.37142857142857144,3.365000000000002,13.34238874923107,13.233146067415738,9.05961538461539
5,CHEMBL58292,34880.0,nM,O=C1C(=O)C=C(N(C)c2ccccc2)c2c1cccc2,-5.9458899,4.457423523739471,1,-5.28,-7.7,20,0.297294495,0.264,0.385,2.9293000000000013,9.853192875300303,11.095833333333339,7.608571428571432
6,CHEMBL292386,1420.0,nM,O=C1C(=O)C=C(Cc2ccccc2)c2c1cccc2,-5.5692925,5.847711655616944,1,-5.18,-9.6,19,0.29312065789473685,0.2726315789473684,0.5052631578947369,3.078100000000001,10.501136365166674,11.29032818532819,6.092072916666669
7,CHEMBL57841,1010.0,nM,O=C(O)COc1ccc(CC=2C(=O)C(=O)c3c(C=2n2c4c(cc2)cccc4)cccc3)cc1,-6.9522319,5.995678626217357,1,-6.4,-8.7,33,0.21067369393939395,0.19393939393939394,0.2636363636363636,4.372200000000003,20.753421645788325,22.544156250000015,16.584206896551738
8,CHEMBL61245,5290.0,nM,S(=O)(=O)(O)C=1c2c(C(=O)C(=O)C=1)cccc2,-6.2922201,5.276544327964814,1,-5.4,-8.4,16,0.39326375625,0.3375,0.525,0.6807000000000002,1.730899400674176,2.0168888888888894,1.296571428571429
9,CHEMBL60918,680.0,nM,O=C(OC)C=Cc1cc2c(c(CCC(=O)OC)c(O)c(O)c2cc1)-c1ccccc1,-6.2224622,6.167491087293763,1,-5.97,-7.4,30,0.20741540666666666,0.19899999999999998,0.24666666666666667,4.209800000000004,20.296467208752208,21.154773869346755,17.06675675675677
10,CHEMBL59240,2150.0,nM,O=C1C(=O)C=C(c2c3c(ccc2)cccc3)c2c1cccc2,-4.9706488,5.667561540084394,1,-4.83,-8.3,22,0.22593858181818183,0.21954545454545454,0.3772727272727273,4.036900000000003,17.867245016384995,18.38753623188407,10.700216867469885
11,CHEMBL58747,5050.0,nM,Clc1c(C=2c3c(C(=O)C(=O)C=2)cccc3)cc(Cl)cc1,-4.8852406,5.296708621881338,1,-4.93,-7.8,20,0.24426203000000002,0.2465,0.39,4.190500000000002,17.155756873059648,17.000000000000007,10.7448717948718
12,CHEMBL433065,2250.0,nM,O=C(OCc1ccccc1)Nc1cc2C(=O)C(=O)C=C(c3ccccc3)c2cc1,-5.9977121,5.647817481888637,1,-6.42,-8.9,29,0.20681765862068965,0.22137931034482758,0.30689655172413793,4.632400000000003,22.398474244870823,20.925171339563878,15.094337078651696
13,CHEMBL57796,29110.0,nM,O(C)C=1c2c(C(=O)C(=O)C=1)cccc2,-5.5013857,4.535957794561189,1,-4.61,-7.6,14,0.39295612142857145,0.3292857142857143,0.5428571428571428,1.4393,3.6627499140807376,4.370976138828634,2.6513421052631583
14,CHEMBL298849,2070.0,nM,O=C(O)C(Oc1cc2C(=O)C(=O)C=C(n3c4c(cc3)cccc4)c2cc1)Cc1ccccc1,-6.1078401,5.684029654543082,1,-5.37,-8.1,33,0.18508606363636362,0.16272727272727272,0.24545454545454545,4.370600000000003,23.613879479261435,26.858435754189966,17.80614814814816
15,CHEMBL58354,1480.0,nM,O=C(OC(C)(C)C)COc1ccc(CC=2C(=O)C(=O)c3c(C=2c2ccccc2)cccc3)cc1,-5.8283281,5.8297382846050425,1,-5.6,-7.0,34,0.17142141470588235,0.16470588235294117,0.20588235294117646,5.217100000000005,30.43435389301439,31.67525000000003,25.340200000000024
16,CHEMBL58288,4200.0,nM,Oc1c(O)cc(C2=CCCC2)c2c1cccc2,-5.6118174,5.376750709602099,1,-5.08,-8.5,17,0.3301069058823529,0.2988235294117647,0.5,3.8183000000000025,11.566858893163568,12.777775590551189,7.636600000000005
17,CHEMBL61044,2540.0,nM,O=C(OC)C(Oc1cc2C(=O)C(=O)C=C(c3ccccc3)c2cc1)Cc1ccccc1,-6.313808,5.5951662833800615,1,-5.64,-8.0,31,0.2036712258064516,0.18193548387096772,0.25806451612903225,4.046800000000004,19.86927698783367,22.243049645390094,15.681350000000014
18,CHEMBL60824,24590.0,nM,O=C1C(=O)CC(=N)c2c1cccc2,-5.0433035,4.609241471261283,1,-4.7,-7.5,13,0.3879464230769231,0.36153846153846153,0.5769230769230769,1.20997,3.1189100556807654,3.3467255319148936,2.0972813333333336
19,CHEMBL52347,1640.0,nM,O=C1C(=O)C=Cc2c1cccc2,-4.9553251,5.785156151952302,1,-4.11,-7.5,12,0.4129437583333333,0.3425,0.625,1.4652,3.548182943637745,4.277956204379562,2.34432
20,CHEMBL57880,650.0,nM,O=C(OCC)Nc1c2C(=O)C(=O)C=C(c3ccccc3)c2ccc1,-6.1875887,6.187086643357144,1,-5.72,-9.3,24,0.2578161958333333,0.2383333333333333,0.3875,3.4521000000000015,13.38977168925272,14.484335664335672,8.908645161290327
21,CHEMBL51447,860.0,nM,O=C1C(=O)C=C(c2ccccc2)c2c1cccc2,-5.0365834,6.065501548756432,1,-4.93,-8.6,18,0.27981018888888887,0.27388888888888885,0.47777777777777775,2.883700000000001,10.305914918434592,10.528722109533474,6.035651162790701
22,CHEMBL58762,500.0,nM,Fc1c(C=2c3c(C(=O)C(=O)C=2)cccc3)cc(F)cc1,-4.8995423,6.301029995663981,1,-4.85,-7.5,20,0.24497711500000002,0.2425,0.375,3.161900000000002,12.906919897395321,13.038762886597947,8.431733333333339
